customer_id,first_name,last_name,age,email,phone,is_user_guest
1,Christopher,Butler,68,perezshannon@example.com,645-870-7415x22372,False
2,Nicole,Sullivan,40,okim@example.com,609.648.0390,False
3,Sarah,Castillo,33,rochajonathan@example.net,(409)972-1088,True
4,Diamond,Huang,41,jamie96@example.org,+1-803-981-6993x22618,False
5,Daniel,Clark,18,freemanpeter@example.net,+1-407-711-4633x2680,False
6,Marissa,Hobbs,26,jessicasmith@example.com,352.802.5130,False
7,Charles,Jones,36,qwhite@example.com,543.813.5766x5580,False
8,Meghan,Miller,58,hillchristopher@example.com,001-478-636-5274x04330,True
9,Curtis,Thompson,56,youngsteven@example.com,+1-685-917-9848x69768,True
10,Erik,Wood,69,petersdebra@example.net,317.491.7917x22186,False
11,Benjamin,Key,55,isaaccastro@example.com,(549)911-8133x5499,True
12,Eric,Carr,29,martinmartin@example.net,(926)398-2395x144,False
13,Andrew,Gonzalez,52,matthewchavez@example.net,(292)324-9940x181,True
14,Lisa,Ross,23,gregory17@example.org,625-376-4843x3120,False
15,David,Hunt,62,coltonreynolds@example.org,001-371-527-1565,False
16,Barbara,Ortega,28,michaelwatkins@example.org,933.946.1484x24262,True
17,Brian,Watson,65,eugenezimmerman@example.net,314.727.6516x489,True
18,Jeremy,Murray,46,ihurley@example.net,(249)925-3747x9741,False
19,Timothy,Kennedy,61,eboyer@example.org,+1-273-682-2901,True
20,Christopher,Nunez,59,adam06@example.net,3862565088,False
